wavelength_nm,x_bar,y_bar,z_bar,x_chromaticity,y_chromaticity
434,0.37452884997146635,0.045019394835295816,1.8378472524936775,0.16591193276470853,0.019943069297840513
435,0.381251288290076,0.047240172180755866,1.8782563297718167,0.16527653777441,0.020479123196986623
436,0.3874148529451266,0.04951653790597298,1.9162429465048643,0.16463499826384626,0.021042443443272444
437,0.39292121223137644,0.051845224083358406,1.9512986961670686,0.16398603147502727,0.021637652240971434
438,0.3976351779718486,0.0542223870577897,1.9827455391882127,0.1633264893497268,0.0222715509414457
439,0.4014164165997331,0.05664349449311445,2.0098805041477417,0.16265239392361938,0.022951726931216252
440,0.40412325498783513,0.059103485461867694,2.031994436446504,0.16195889115149384,0.023686671950815287
441,0.4056539521318227,0.06159832191530101,2.0485690435552093,0.16124116180016523,0.024484378713352503
442,0.4060620045758385,0.06412987699663444,2.059826258654552,0.1604976652615627,0.02534759572549148
443,0.4054520138447966,0.06670295071453414,2.066234894904914,0.15972803087480494,0.02627766198554407
444,0.4039412288430433,0.06932429332441961,2.0683287511456134,0.15893222340184485,0.027275908689411883
445,0.40165691416469407,0.07200285537589728,2.066695176899228,0.15811054857810175,0.028343620042862786
446,0.3987005180203336,0.07474774789975175,2.061796515943541,0.1572631253883319,0.029483444137021603
447,0.3950448463285926,0.07756075789127254,2.053455632721834,0.1563876760196333,0.03070422710146778
448,0.39063608202104,0.08044187372216371,2.0413610072313375,0.1554808247196405,0.03201744396883835
449,0.3854272392632628,0.08339125450334386,2.0252343172348155,0.15453852362833667,0.03343604198575902
450,0.3793785990034814,0.08640905263805428,2.004833080180796,0.15355598458191982,0.03497463270063265
451,0.3724907973303864,0.08949820347776447,1.9801272838373845,0.15252787087673517,0.03664780585612238
452,0.36489606743127256,0.09267437681406741,1.9517948155310731,0.15144904490950226,0.03846422888270063
453,0.35675104235289073,0.09595832398181009,1.920658879585104,0.15031423925309617,0.0404312833235119
454,0.3481993740045718,0.09937292063571816,1.8874897433865445,0.14911782570830792,0.04255686530696628
455,0.3393690641390634,0.1029430618423561,1.8529912730809925,0.147853684300598,0.04484943554059406
456,0.33035818025118446,0.10669286663784093,1.8177117394796862,0.1465157143130011,0.047318887504644976
457,0.32119925712392716,0.1106366300908085,1.7818043103196528,0.14510002912021902,0.04997949992687995
458,0.31190753720414627,0.11478538670127027,1.745312379907375,0.14360348782602697,0.05284765488361062
459,0.30249612981706236,0.11914911247121086,1.7082605457161308,0.14202324418324785,0.055941024782531136
460,0.292977162663537,0.12373646596986686,1.6706576989316964,0.14035699292913648,0.059278607661150694
461,0.2833516393242013,0.1285528134711565,1.6324531075458004,0.1386018007911083,0.06288176587353138
462,0.27357718173737394,0.13359414393305824,1.593401694070925,0.13674941081267966,0.06677793942773949
463,0.2636042935267082,0.13885077422089956,1.5532238014682793,0.13478915054821763,0.0709987597690671
464,0.25338922980250056,0.14430858417585313,1.5116602692974241,0.13270911937470364,0.07557963351131655
465,0.24289548938699676,0.14994873431068637,1.4684817799938272,0.1304959415520278,0.08056016732872032
466,0.23210624746038916,0.15575060385617778,1.4235500765437261,0.12813589475146947,0.08598322191477796
467,0.22105585902245017,0.1617022244084886,1.3769731720234566,0.12561910140385013,0.09189029512732845
468,0.20979508090097038,0.16779321196871613,1.328935840704846,0.12293707236447211,0.09832454675999913
469,0.1983796634719946,0.1740124908931054,1.279645402745296,0.12008181207392371,0.10533204293337815
470,0.18686979159849312,0.1803487694889347,1.2293298046696761,0.1170461199964193,0.11296166991058298
471,0.17532956968205332,0.18679216595580247,1.1782455700018417,0.11382322192903263,0.12126469139659503
472,0.16382604353945446,0.19333827728304903,1.1266984654905332,0.11040511632919514,0.13029390524944554
473,0.1524249449120116,0.19998613481185284,1.0750036245709444,0.10678392512939307,0.14010373734425888
474,0.14118885345394816,0.2067376916111722,1.0234689868520903,0.10295268590861323,0.15074986522827077
475,0.13017593858172835,0.21359833387361907,0.9723898099469216,0.09890555465100566,0.16228852977339903
476,0.11944112251082242,0.22057545247517707,0.922049366880312,0.09463936752321823,0.17477331822218073
477,0.10904118808017062,0.22767320998885074,0.8727304416044559,0.09015804979548242,0.1882460468807468
478,0.0990269462645221,0.23489703348165714,0.8246882984496845,0.0854703062690844,0.20273998291078674
479,0.08944074760308857,0.24225520355504454,0.7781418998106203,0.0805890225540764,0.21827981749188427
480,0.08031647773361568,0.24975859351435062,0.7332731597438154,0.07553167945622549,0.23487939908584937
481,0.0716766229008659,0.2574188181216249,0.6902035296902275,0.07031952838208783,0.2525449603285987
482,0.0635254586763761,0.26524228369919356,0.6489345178883943,0.06497423730944965,0.2712914702964708
483,0.05586353062851503,0.2732338782634242,0.6094388302770013,0.05952197506830566,0.29112768038170656
484,0.048691489113417814,0.2813979901174197,0.5716854280754937,0.05399516965809452,0.31204903556030017
485,0.042010123130249495,0.2897380418385798,0.535639054671586,0.04843295148810844,0.33403540573112644
486,0.03582249490518176,0.29826408863380116,0.5012855236580304,0.04288208164548331,0.3570433894837464
487,0.03013741908897643,0.30701840464809715,0.46869511655373,0.03739825516379106,0.3809865935470707
488,0.024959483273673925,0.3160543496513767,0.4379272436519458,0.03204283870014492,0.40574872625828906
489,0.02028773706433245,0.3254286212106083,0.40900738962696803,0.02688101059590514,0.43118905707589333
490,0.016117054168395102,0.3352013906575173,0.3819330346049637,0.021980254551827963,0.45714383136013415
491,0.012439178162211642,0.34542411543461365,0.3566610769841998,0.017409032741733575,0.48343223780278816
492,0.009244826827964438,0.3560986551504048,0.33306676392454154,0.013236957622253446,0.5098703193995062
493,0.006527688115448778,0.36720935984292713,0.3110162048532529,0.009532905595768675,0.5362652288764579
494,0.0042848101191378775,0.37873403461696364,0.29038619189000825,0.006362901799198904,0.5624163972911382
495,0.0025162364227471297,0.3906431019065039,0.27106345449043245,0.00378824161101953,0.5881205916589973
496,0.0012211847423544658,0.40290809442560926,0.252944151284129,0.0018585209593914673,0.6131857959138486
497,0.00038729052487392507,0.41553090124694786,0.23593371303644103,0.0005941388251183274,0.6374621262619046
498,0.0000000000010091965641684142,0.42852045209657097,0.21994572975738946,0.0000000000015562824899851484,0.6608215880599463
499,0.00004568348561862973,0.44188412544301076,0.20490157363724298,0.00007062657571964265,0.6831519579185074
500,0.0005114116565671083,0.4556276136934434,0.19073013779048759,0.0007905952017935831,0.7043582221193042
501,0.0013886107262772297,0.46975045014452516,0.17736997139947847,0.0021412357533649503,0.7243545220951464
502,0.0026848731437020394,0.48423130603993186,0.16477473847439675,0.004119856623674636,0.7430382914957673
503,0.004412385243704874,0.4990397846954996,0.1529041706277867,0.006722545317217855,0.7603183725846325
504,0.006583839844698177,0.514140643198169,0.14172124475750117,0.009938685643818137,0.7761249286116736
505,0.009212202054032446,0.5294939190496576,0.13119197694664886,0.0137516468263509,0.7904096467667077
506,0.012311381098836574,0.5450562846023957,0.1212929706590305,0.01814070308374443,0.8031352570050284
507,0.015897680492899698,0.560785293194726,0.11202954422811533,0.023083187947579402,0.8142516341823397
508,0.019985035272254106,0.5766368314613768,0.10340412887424019,0.028548990177000497,0.8237363113360544
509,0.02458407053769813,0.5925646013968675,0.09540914134276163,0.03450115917559943,0.8316021385990212
510,0.0297024558812947,0.6085207434843037,0.08802926180563254,0.04089825159889083,0.8378914716556544
511,0.035339275408631125,0.62445928313047,0.08123542912192531,0.04768914246453765,0.8426864267069467
512,0.041467632688913625,0.6403458382182916,0.07496701176568889,0.054794796692500494,0.8461447577990334
513,0.04805319981902261,0.6561508611928003,0.06916473300117161,0.06213490923221192,0.8484320369174029
514,0.05506014745293061,0.6718478290626647,0.06377832131036447,0.06963589429122757,0.849702127012889
515,0.06245108436400867,0.6874137970604871,0.058764988873895516,0.07723074135384547,0.8500969631592086
516,0.07019512397551679,0.7028211454202171,0.05409161523984333,0.08486815961915861,0.8497333400828108
517,0.0782925205136835,0.7180101352268119,0.04974174520729254,0.09253949370266581,0.848667202835283
518,0.08675123798087447,0.7329116639680479,0.045701928408359516,0.10024816694371277,0.8469395083521614
519,0.09557903883107596,0.7474553382766118,0.04195803597173511,0.1079998397935399,0.8445895436275701
520,0.10478323071941349,0.7615694644048377,0.038495428827342144,0.11580200913918132,0.8416544658113027
521,0.11436567044245456,0.7751964166566765,0.03529842153145768,0.12365721033087695,0.8381765784382824
522,0.12430934900532274,0.7883416006786099,0.032348798924701425,0.13154431965548036,0.8342241379845031
523,0.13459355613801638,0.8010307983938707,0.029628762066960954,0.13943861337870453,0.8298660575335631
524,0.14519907319876238,0.8132942467055486,0.02712166186977689,0.14731824889411366,0.8251642494735973
525,0.1561084592152293,0.8251656201478048,0.024811930089833834,0.1551641288602399,0.820174033228579
526,0.1673053844423479,0.8366727109383751,0.022685376784436623,0.1629602970966843,0.8149434879317293
527,0.17877127074847154,0.8478106262971493,0.02072996403331332,0.17069535578858286,0.8095111473517926
528,0.19048624387287763,0.8585651521802963,0.018934333594311164,0.17836028945419738,0.8039106968813964
529,0.20242986743666241,0.8689211838635763,0.017287480560956088,0.1859477333496339,0.7981723578881799
530,0.21458132338402236,0.8788631139257913,0.015778816050159836,0.19345187971314992,0.792323016366279
531,0.22692563264394436,0.8883829810809662,0.014397909089754952,0.20087131308984457,0.7863838644283991
532,0.23947346877250256,0.8975041195953064,0.013133793775135022,0.20821763221428505,0.7803627835793022
533,0.25224502893011863,0.9062606607059,0.011976249635032798,0.2155052722019879,0.774262831659152
534,0.26526462738215717,0.9146907448731577,0.010916055879495002,0.22274833463560811,0.7680852216815569
535,0.27856093685453936,0.9228368040381631,0.009944889004224538,0.22996048349940598,0.7618297096641328
