wavelength_nm,V_P,K_P_lm_per_W
673,0.025551907708137606,17.452004313268432
674,0.023873955171539434,16.30595935879151
675,0.02229659980671689,15.228622474795444
676,0.02081468368036888,14.216470782470292
677,0.01942337592402664,13.26620478894388
678,0.018118027912680107,12.374649473992545
679,0.016894139191110814,11.538731017658048
680,0.015747360478989822,10.755478852735498
681,0.014673392871471085,10.02195681857605
682,0.013667748548665318,9.335099725176688
683,0.01272613318549908,8.69197453988246
684,0.011844549007024963,8.089850774370438
685,0.011019269885753902,7.5261834760776365
686,0.010247061533067606,6.9987636193782
687,0.009525748971531797,6.506105690313726
688,0.008853257815077868,6.04679287903071
689,0.008227382744715307,5.6193189482268675
690,0.007645834117301229,5.2221200670343855
691,0.007106078357397108,4.853465798337327
692,0.006604873548929253,4.511141906942471
693,0.006139083605855343,4.193006439780695
694,0.005705875281128495,3.897124283425341
695,0.005302683558372844,3.621743526537087
696,0.004927250470531392,3.3653219730784367
697,0.004577765659058887,3.1266231445249217
698,0.004252584073043525,2.9045234677979193
699,0.003950145326615957,2.697957196212943
700,0.0036689720779877217,2.505915302359636
701,0.003407638927089701,2.327424235126335
702,0.003164699226755874,2.1614959315914946
703,0.002938793700287616,2.007202003038378
704,0.0027286729498657955,1.863689108245753
705,0.002533188216771339,1.7301726426999702
706,0.0023513094331264277,1.6059490679704744
707,0.0021821815338961686,1.4904343729201124
708,0.0020250146055934377,1.3830890450497837
709,0.0018790522986054383,1.2833964960540027
710,0.0017435733611641867,1.1908641095258237
711,0.0016178897035082301,1.1050219187754025
712,0.001501342157029186,1.0254197103185616
713,0.001393307371987308,0.9516317350303828
714,0.0012931971013729867,0.8832562190211733
715,0.0012004586875156138,0.8199156959912978
716,0.0011145612032631453,0.7612475416289693
717,0.0010349670991717176,0.7068846085837804
718,0.0009611747426326902,0.6564842807759584
719,0.0008927264104564594,0.6097339323471727
720,0.0008292048540904678,0.5663485816975318
721,0.0007702368091712985,0.5260732885167176
722,0.0007155104289952446,0.4886950608794171
723,0.0006647399642519928,0.4540187314324502
724,0.0006176558020517364,0.4218601540302701
725,0.0005740038915543772,0.3920458114385542
726,0.0005335409816541802,0.3644095626632529
727,0.0004960232404284888,0.3387848700111919
728,0.0004612226205649439,0.3150159767097505
729,0.0004289300101351912,0.2929600588916355
730,0.00039895357256469755,0.27248609179092986
731,0.0003711175159962707,0.2534740092159033
732,0.0003452614418799144,0.2358142586345747
733,0.0003212379923811014,0.21940619434983447
734,0.00029891140704756873,0.20415709169996554
735,0.00027815659111469734,0.18998151070934508
736,0.000258861235688247,0.1768027441775133
737,0.0002409323266708349,0.16455726328903839
738,0.00022428384783025726,0.1531863187844687
739,0.00020883350150096688,0.1426337011928517
740,0.0001945027995901132,0.13284580298904236
741,0.00018121370772926758,0.12376932654258753
742,0.0001688801440158116,0.11534547774101038
743,0.00015742114213491995,0.10751895642857691
744,0.00014676377765384074,0.10023995507117006
745,0.00013684228156870076,0.09346355330697634
746,0.00012759933523336496,0.08715060238549908
747,0.00011899034432715205,0.08127064429609711
748,0.000110975109593618,0.07579622286583551
749,0.00010351548783773073,0.07070128621585556
750,0.00009657535366937474,0.06596116063211148
751,0.00009011988808895812,0.06155206466791045
752,0.00008411408532006307,0.05745008930761218
753,0.00007852498609353156,0.05363272330414744
754,0.00007332217660920149,0.05007919397088654
755,0.00006847758282325511,0.046770326679484914
756,0.00006396517109964826,0.04368834040420771
757,0.00005976051369436369,0.040816550946801644
758,0.00005584103143782766,0.038139536689073196
759,0.000052185955288608494,0.03564311233398747
760,0.00004877616306981506,0.03331421739630027
761,0.00004559437430633814,0.031141049276785505
762,0.00004262586210641137,0.029113549478771875
763,0.00003985705044530655,0.027222445550087904
764,0.00003727511121413268,0.025458975866581926
765,0.00003486794059202206,0.023814873494277702
766,0.00003262374008850606,0.022282080040475147
767,0.000030530042355591196,0.02085208028144057
768,0.00002857512475391416,0.019516867630931245
769,0.00002674834284681355,0.01826917191731659
770,0.000025040010776869296,0.017102377680514185
771,0.000023441700058117163,0.01601072824767274
772,0.00002194710579129491,0.01498991735992594
773,0.00002055051260342061,0.01403604140604163
774,0.000019246374433334336,0.013145312415102327
775,0.000018029327389181733,0.01231406683819233
776,0.00001689393833246392,0.011538593830798579
777,0.000015834003145326794,0.010814655967959046
778,0.000014843612795633696,0.010138217368849721
779,0.000013917404477266675,0.009505615226115052
780,0.00001305050238729378,0.008913519356554201
