wavelength_nm,V_P,K_P_lm_per_W,V_P_q,log10_V_P_q
415.3,0.014018049662470684,9.574356089863972,0.018652606712848366,-1.7292604667025981
415.4,0.014137879462423397,9.65620008403928,0.018807525207341892,-1.725668347432361
415.5,0.014258277733594941,9.73843234519944,0.018963125183566056,-1.7220900879825536
415.6,0.014379241232868952,9.821050658289455,0.01911940183737514,-1.7185256990259692
415.7,0.014500766717129056,9.904052808254326,0.019276350369246128,-1.7149751885107263
415.8,0.01462285094325908,9.987436580039187,0.019433965984273407,-1.7114385617613346
415.9,0.014745490668142588,10.071199758589,0.019592243892162617,-1.707915821576629
416,0.014868682648663414,10.155340128848902,0.01975117930722579,-1.7044069683246068
416.1,0.014992423546608956,10.239855410812977,0.01991076732208218,-1.7009120027890259
416.2,0.015116709643381661,10.324743064671628,0.020071002529016526,-1.6974309343413188
416.3,0.015241537125287969,10.410000485664485,0.02023187939927746,-1.693963772452917
416.4,0.015366902178634026,10.495625069030984,0.020393392409424234,-1.6905105239940266
416.5,0.01549280098972627,10.581614210010757,0.02055553604132111,-1.6870711933301232
416.6,0.015619229744870922,10.66796530384329,0.020718304782130312,-1.6836457824154794
416.7,0.0157461846303742,10.754675745768067,0.020881693124305982,-1.6802342908837524
416.8,0.015873661832542546,10.841742931024722,0.02104569556558808,-1.6768367161357387
416.9,0.0160016575376821,10.929164254852685,0.021210306608995408,-1.6734530534243925
417,0.016130167932099305,11.016937112491593,0.021375520762820042,-1.6700832959371406
417.1,0.016259189133411303,11.105058852266152,0.021541332449616136,-1.6667274367103582
417.2,0.016388716984478916,11.193526634841952,0.02170773573335585,-1.6633854740947678
417.3,0.016518747259474116,11.282337573969953,0.021874724592741018,-1.6600574061276283
417.4,0.016649275732568573,11.371488783400915,0.022042293012243357,-1.6567432287510715
417.5,0.01678029817793426,11.460977376885804,0.02221043498209837,-1.6534429358920857
417.6,0.01691181036974292,11.55080046817543,0.022379144498297726,-1.6501565195400194
417.7,0.017043808082166306,11.640955171020606,0.022548415562582722,-1.646883969821626
417.8,0.017176287089376383,11.731438599172291,0.02271824218243761,-1.6436252750737437
417.9,0.017309243165544823,11.822247866381248,0.02288861837108212,-1.6403804219136908
418,0.017442672084843597,11.913380086398439,0.023059538147465333,-1.637149395307405
418.1,0.01757656957338149,12.004832340147574,0.02323099547273323,-1.6339321798230133
